idx,lp,name,token_adr,pool_adr,tvl,borrow,utilization
0,0xA48869049e36f8Bfe0Cc5cf655632626988c0140,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x65A4810e68AB2b011140B940F8edF8eE84BC141d,7,0,0.10
0,0xA48869049e36f8Bfe0Cc5cf655632626988c0140,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x74e657267D3588D6330CF719368627f8b6F13303,11,0,0.04
1,0x12B42FAb7821F8141a24589640c4D056946eCac6,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xD05f23002f6d09Cf7b643B69F171cc2A3EAcd0b3,160499,83159,51.81
1,0x12B42FAb7821F8141a24589640c4D056946eCac6,BOO,0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,0x9514D6c3F62Bba5cBA2565fbEcD437fe3a218FBb,144715,139246,96.22
2,0x72f6a9aDCafDc150CE69bD69E3455ee0eD7d2242,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x93a97db4fEA1d053C31f0B658b0B87f4b38e105d,1654,700,42.29
2,0x72f6a9aDCafDc150CE69bD69E3455ee0eD7d2242,SPIRIT,0x5Cc61A78F164885776AA610fb0FE1257df78E59B,0x8d45F1496bf8a5F291DdE3b40Ac83A950a27A055,26915,265,0.99
3,0xdE203F137EF23Aff18F051ADDc36624b5a0Ef0C2,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0x710675A9c8509D3dF254792C548555D3D0a69494,1462399,382385,26.15
3,0xdE203F137EF23Aff18F051ADDc36624b5a0Ef0C2,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x6e11aaD63d11234024eFB6f7Be345d1d5b8a8f38,456552,170340,37.31
4,0x5642B215b15d36194e90bbf217E6b7014a8965ce,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xb7FA3710A69487F37ae91D74Be55578d1353f9df,1337996,442297,33.06
4,0x5642B215b15d36194e90bbf217E6b7014a8965ce,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xFf0BC3c7df0c247E5ce1eA220c7095cE1B6Dc745,431138,216658,50.25
5,0x3E0c11024E364026046d0072f95ff898FBD7DA3E,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x845b1619eB0C7C0F9bc7d5494a0b332f6D8Fd4f6,248058,72290,29.14
5,0x3E0c11024E364026046d0072f95ff898FBD7DA3E,ETH,0x74b23882a30290451A17c44f4F05243b6b58C76d,0xcDA31B40671229776a5F9AEdB6BBFc7E7A62eAe6,674420,148215,21.98
6,0xcf9F94adcF137E7398E65a0c8a3B6caF127f760E,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x7A7dd36BCca42952CC1E67BcA1Be44097fF5b644,462591,311157,67.26
6,0xcf9F94adcF137E7398E65a0c8a3B6caF127f760E,BTC,0x321162Cd933E2Be498Cd2267a90534A804051b11,0x9800ac596E345E6a7179B33DeeaE2eFaf7C9B8E7,1012697,325025,32.10
7,0xd4Ca5899c042545d602363b6Dcf0AEAa42f85158,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xE4EB3bd58c6021de054505e85179bbD2EbC03566,1432,605,42.21
7,0xd4Ca5899c042545d602363b6Dcf0AEAa42f85158,BTC,0x321162Cd933E2Be498Cd2267a90534A804051b11,0xe02A4886718da7eC9e66eb75b1f22d5D3753a715,5797,1862,32.12
8,0x7C8B3BA13C5BB891d765871d830e9B6f159AcE13,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x8254086911E2A08bf0a179E87A1d45fb6B0F64E9,13449,5128,38.13
8,0x7C8B3BA13C5BB891d765871d830e9B6f159AcE13,ETH,0x74b23882a30290451A17c44f4F05243b6b58C76d,0x6EedDE8005D974f004f9Ff1E50F6cD2aEFf9D407,12414,9377,75.53
9,0x84311ECC54D7553378c067282940b0fdfb913675,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x8958aa800Ea1BAa1c47A76CE441b9Ff95548fB6a,1050,1,0.11
9,0x84311ECC54D7553378c067282940b0fdfb913675,ICE,0xf16e81dce15B08F326220742020379B855B87DF9,0x49FDEE95aC2FDfABB9bDed9db9EDe35E4213C5A4,1341,0,0.01
10,0xb9eeF82528fE73f32deAb5918Af431972c24f552,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x60d5ef2B19078773FC7EA61599D7e5219218Bf8E,374,86,23.02
10,0xb9eeF82528fE73f32deAb5918Af431972c24f552,ICE,0xf16e81dce15B08F326220742020379B855B87DF9,0x3b893dbe7D79b63F9f7357837248FFF00b318e97,1043,50,4.76
11,0x29652F57e18c502f342Eba20ebf4D42128B222eE,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x7D0Eb2b3EDeC482c86e0d588a0f1b3A36b99D336,12482,10670,85.48
11,0x29652F57e18c502f342Eba20ebf4D42128B222eE,ICE,0xf16e81dce15B08F326220742020379B855B87DF9,0x09663B211c559cc5430Ee1f4680D6de2888631DD,22801,7297,32.00
12,0x081E5C833f8B66d8F5cA96574A3A6729143D077a,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x4e4a8AE836cBE9576113706e166ae1194A7113E6,36692,212,0.58
12,0x081E5C833f8B66d8F5cA96574A3A6729143D077a,MIM,0x82f0B8B456c1A451378467398982d4834b6829c1,0xF13AC080BB77Ad70fEcC2Da4107Faf5D8D3C4E46,82004,614,0.75
13,0x9E93C992EEdCAd949E11E30898a4C58E378AEDaa,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xB566727F4edF30bA13939E304d828e30d4063C59,4645,43,0.92
13,0x9E93C992EEdCAd949E11E30898a4C58E378AEDaa,MIM,0x82f0B8B456c1A451378467398982d4834b6829c1,0x2c4107f7DE56f1e0F99f31fAdb69284207D5FdA6,13670,500,3.66
14,0x5E2982B55d79327887B297cdca76a7562393408b,CRV,0x1E4F97b9f9F913c46F1632781732927B9019C68b,0x054eC0CB1798F609cB08f0848cE6CC1982acd1FE,13467,1065,7.91
14,0x5E2982B55d79327887B297cdca76a7562393408b,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0xeaAb0Eb61326499a4BC79eCDbC6F3BB17B323dd6,8817,394,4.47
